season,team_1,team_2,home,score_diff,score_1,score_2,won
1985,3745,6664,0,17,81,64,1
1985,126,7493,1,7,77,70,1
1985,288,3593,1,7,63,56,1
1985,1846,9881,1,16,70,54,1
1985,2675,10298,1,12,86,74,1
1985,3438,6966,1,1,79,78,1
1985,3745,3677,0,20,64,44,1
1985,4149,4941,0,2,58,56,1
1985,4698,866,1,18,98,80,1
1985,6012,9629,1,8,97,89,1
1985,6080,5615,1,32,103,71,1
1985,7167,10054,0,4,75,71,1
1985,8059,9235,1,19,91,72,1
1985,9269,8780,0,5,70,65,1
1985,9402,3643,1,29,87,58,1
1985,410,7889,1,3,65,62,1
1985,513,8609,1,42,92,50,1
1985,908,6046,0,5,65,60,1
1985,1139,8507,1,5,58,53,1
1985,1448,2442,1,2,50,48,1
1985,1846,1643,0,7,47,40,1
1985,2014,3370,1,3,55,52,1
1985,2082,900,1,20,76,56,1
1985,2204,5810,1,1,59,58,1
1985,2709,4839,0,3,79,76,1
1985,2779,9368,1,51,106,55,1
1985,3098,952,1,18,95,77,1
1985,3234,1312,1,13,79,66,1
1985,3268,5,0,5,64,59,1
1985,3920,356,1,29,76,47,1
1985,4149,6796,0,17,66,49,1
1985,4183,6338,1,22,72,50,1
1985,4596,3818,0,11,75,64,1
1985,5246,1207,0,9,80,71,1
1985,5280,10502,1,4,75,71,1
1985,5547,2510,1,45,109,64,1
1985,5929,1173,1,40,94,54,1
1985,6595,8371,1,10,94,84,1
1985,6629,4332,1,18,85,67,1
1985,6664,5581,1,46,94,48,1
1985,7034,6864,1,12,73,61,1
1985,7828,9402,0,8,68,60,1
1985,8093,675,1,36,104,68,1
1985,8780,3677,0,6,65,59,1
1985,8984,1414,1,3,70,67,1
1985,9269,3745,0,7,59,52,1
1985,9595,7255,1,16,58,42,1
1985,9799,9765,0,1,93,92,1
1985,10020,9986,0,24,80,56,1
1985,10054,2048,0,4,69,65,1
1985,10088,6732,1,26,102,76,1
1985,10224,547,1,36,93,57,1
1985,10564,4366,0,5,70,65,1
1985,3745,6796,0,3,75,72,1
1985,4115,10122,1,4,67,63,1
1985,4941,8780,0,23,72,49,1
1985,6281,2912,0,16,81,65,1
1985,6542,4805,1,11,67,56,1
1985,9269,4149,0,4,50,46,1
1985,10664,5615,1,15,93,78,1
1985,73,952,1,25,81,56,1
1985,1414,10564,0,11,60,49,1
1985,1677,9317,1,7,80,73,1
1985,2340,8473,0,33,97,64,1
1985,2510,2408,1,4,75,71,1
1985,3920,3268,1,22,62,40,1
1985,4298,5479,1,18,85,67,1
1985,4366,8950,0,10,85,75,1
1985,5212,2238,1,14,80,66,1
1985,5929,7794,1,23,93,70,1
1985,6080,9235,1,1,64,63,1
1985,6664,356,1,27,90,63,1
1985,7000,8371,1,16,104,88,1
1985,7889,5651,1,9,76,67,1
1985,8127,547,1,25,77,52,1
1985,8171,675,1,43,93,50,1
1985,8609,2980,1,2,60,58,1
1985,8746,2306,1,13,75,62,1
1985,8814,5581,1,18,60,42,1
1985,8848,1516,0,1,68,67,1
1985,9765,4630,1,4,89,85,1
1985,10332,2675,1,14,81,67,1
1985,10854,900,1,13,71,58,1
1985,410,9368,0,14,59,45,1
1985,622,7088,1,22,99,77,1
1985,764,6046,0,23,86,63,1
1985,2709,908,1,3,66,63,1
1985,2912,4514,1,11,78,67,1
1985,3048,7255,0,3,72,69,1
1985,3234,1380,1,16,74,58,1
1985,3886,3491,1,8,80,72,1
1985,4264,9044,1,9,63,54,1
1985,5348,4024,1,31,77,46,1
1985,6114,9847,1,3,66,63,1
1985,6966,4480,1,17,81,64,1
1985,7034,7760,0,1,82,81,1
1985,7289,3370,1,5,64,59,1
1985,8025,9881,1,15,71,56,1
1985,8093,5615,1,52,109,57,1
1985,8205,5009,0,18,74,56,1
1985,9167,6766,0,4,86,82,1
1985,10258,9918,0,33,90,57,1
1985,10434,7828,1,28,89,61,1
1985,1013,10190,0,11,78,67,1
1985,1482,1312,0,17,78,61,1
1985,2340,10598,1,32,92,60,1
1985,3745,1414,1,18,81,63,1
1985,3779,3711,1,31,93,62,1
1985,3920,5581,1,43,89,46,1
1985,4664,9078,0,8,81,73,1
1985,4732,4698,1,6,102,96,1
1985,5077,444,1,17,79,62,1
1985,5111,547,1,12,84,72,1
1985,5280,1779,1,1,61,60,1
1985,6372,9986,0,19,71,52,1
1985,6732,10122,1,6,56,50,1
1985,7659,6012,1,5,80,75,1
1985,8507,4298,1,10,69,59,1
1985,8662,1846,1,12,65,53,1
1985,9470,9436,1,1,61,60,1
1985,10020,4839,0,5,56,51,1
1985,10298,4805,1,10,71,61,1
1985,622,5382,1,15,103,88,1
1985,1711,213,1,38,86,48,1
1985,3438,6148,1,9,87,78,1
1985,5850,2306,1,17,91,74,1
1985,6542,6474,1,18,79,61,1
1985,6796,5513,1,1,58,57,1
1985,7255,5043,1,33,90,57,1
1985,7459,7391,1,4,77,73,1
1985,7625,4907,0,4,66,62,1
1985,7693,9317,0,9,86,77,1
1985,7889,356,1,3,70,67,1
1985,8439,8025,1,13,56,43,1
1985,8882,6508,1,35,87,52,1
1985,8984,9765,1,8,81,73,1
1985,9884,2544,0,11,72,61,1
1985,5,3643,0,11,78,67,1
1985,73,4230,1,1,65,64,1
1985,254,1346,0,9,77,68,1
1985,288,9167,1,4,84,80,1
1985,479,1081,0,12,87,75,1
1985,513,9269,0,2,61,59,1
1985,908,3525,0,13,81,68,1
1985,1312,675,0,5,67,62,1
1985,1380,554,1,10,64,54,1
1985,1516,1173,1,35,90,55,1
1985,2476,1414,1,9,85,76,1
1985,2779,2878,0,3,68,65,1
1985,2946,10502,1,15,61,46,1
1985,3234,8848,1,18,96,78,1
1985,3302,2813,1,14,64,50,1
1985,4298,1047,0,1,74,73,1
1985,4907,6148,0,20,98,78,1
1985,5246,10258,1,16,77,61,1
1985,5715,8814,0,20,80,60,1
1985,6080,1745,1,13,57,44,1
1985,6406,4058,0,1,65,64,1
1985,6440,7493,1,3,64,61,1
1985,7034,2510,1,2,46,44,1
1985,7625,3438,0,9,93,84,1
1985,7959,7323,0,3,69,66,1
1985,8093,3559,0,16,86,70,1
1985,8171,4514,1,1,65,64,1
1985,8303,8337,0,14,73,59,1
1985,8405,4332,1,46,93,47,1
1985,8575,6864,1,13,66,53,1
1985,8950,7088,1,3,72,69,1
1985,9663,8205,0,1,73,72,1
1985,9952,10820,1,15,87,72,1
1985,10054,4664,1,12,72,60,1
1985,10156,9595,0,1,69,68,1
1985,10366,588,0,11,66,55,1
1985,10854,126,0,26,81,55,1
1985,39,10190,1,7,64,57,1
1985,126,7493,0,28,90,62,1
1985,254,10156,0,11,77,66,1
1985,288,7760,1,35,79,44,1
1985,554,8814,0,9,67,58,1
1985,588,10502,0,18,75,57,1
1985,730,2510,0,5,54,49,1
1985,1047,6864,0,9,72,63,1
1985,1081,10258,0,1,71,70,1
1985,1312,5043,0,17,75,58,1
1985,1380,5715,1,2,71,69,1
1985,1482,3200,1,21,93,72,1
1985,1516,8093,1,10,79,69,1
1985,1550,6932,1,30,112,82,1
1985,1677,9765,1,9,89,80,1
1985,2082,7167,0,13,68,55,1
1985,2116,7133,1,3,51,48,1
1985,2204,9402,1,19,80,61,1
1985,2340,8439,1,13,59,46,1
1985,2408,3852,1,1,68,67,1
1985,2709,9881,0,5,68,63,1
1985,2980,4115,0,1,49,48,1
1985,3014,220,1,24,83,59,1
1985,3559,1173,0,9,73,64,1
1985,3711,6898,1,5,76,71,1
1985,3745,6664,1,3,73,70,1
1985,3779,5445,1,10,54,44,1
1985,3818,6595,1,17,90,73,1
1985,3886,4839,1,8,86,78,1
1985,3920,3098,1,29,111,82,1
1985,3954,1880,1,9,77,68,1
1985,4024,6214,1,1,84,83,1
1985,4058,1745,0,20,81,61,1
1985,4149,2238,1,22,86,64,1
1985,4332,8337,0,25,67,42,1
1985,4562,1253,0,16,78,62,1
1985,4596,9884,1,12,67,55,1
1985,4630,9317,0,10,76,66,1
1985,4698,6474,1,6,73,67,1
1985,4732,6766,0,3,74,71,1
1985,4805,4400,1,3,60,57,1
1985,4873,213,1,47,74,27,1
1985,4941,10468,1,9,56,47,1
1985,4975,6046,0,4,55,51,1
1985,5077,9663,1,16,61,45,1
1985,5212,3166,1,6,63,57,1
1985,5246,479,1,12,76,64,1
1985,5280,5547,1,14,85,71,1
1985,5513,5,1,25,80,55,1
1985,5651,7088,0,32,78,46,1
1985,6180,1643,1,36,73,37,1
1985,6406,6080,0,8,64,56,1
1985,6542,8371,1,40,85,45,1
1985,6629,410,1,1,85,84,1
1985,6698,3593,1,1,44,43,1
1985,6830,5382,1,2,54,52,1
1985,6966,10564,0,2,83,81,1
1985,7201,4264,1,10,66,56,1
1985,7255,675,1,24,84,60,1
1985,7289,4771,0,4,64,60,1
1985,7323,3525,0,2,62,60,1
1985,7425,952,0,3,66,63,1
1985,7693,5615,1,60,128,68,1
1985,7889,9235,1,14,82,68,1
1985,7959,908,0,7,73,66,1
1985,8059,6508,1,32,89,57,1
1985,8127,9078,1,11,79,68,1
1985,8205,444,0,1,65,64,1
1985,8239,10296,1,4,82,78,1
1985,8405,8303,1,1,58,57,1
1985,8575,4298,1,11,84,73,1
1985,8984,9731,1,27,76,49,1
1985,9044,322,1,13,79,66,1
1985,9137,866,1,9,65,56,1
1985,9201,6338,0,10,60,50,1
1985,9436,4366,1,4,57,53,1
1985,9595,1346,0,1,61,60,1
1985,9629,1711,0,10,88,78,1
1985,10020,8746,0,3,68,65,1
1985,10054,7357,1,5,57,52,1
1985,10366,2946,0,8,53,45,1
1985,10434,9799,1,7,77,70,1
1985,10598,2306,1,16,81,65,1
1985,10664,10400,1,2,61,59,1
1985,10786,7000,0,3,61,58,1
1985,10854,6440,0,13,70,57,1
1985,764,10332,0,6,82,76,1
1985,6281,798,0,17,89,72,1
1985,73,2607,1,24,100,76,1
1985,1013,9918,1,15,66,51,1
1985,1925,8507,0,1,51,50,1
1985,2272,10502,1,7,68,61,1
1985,2912,8337,0,17,82,65,1
1985,3014,5615,1,48,115,67,1
1985,3268,730,1,1,55,54,1
1985,3593,6214,0,2,63,61,1
1985,4366,8950,1,32,83,51,1
1985,4562,7323,1,12,75,63,1
1985,4732,8882,1,8,87,79,1
1985,5382,5581,1,15,75,60,1
1985,5850,220,1,16,84,68,1
1985,5929,3370,1,37,83,46,1
1985,5978,5547,1,21,86,65,1
1985,6281,3609,1,14,77,63,1
